from;to;relationship
muhara;buestu;3
muhara;foecol;5
muhara;deutue;5
muhara;stihos;3
muhara;heiboebad;1
muhara;bunfue;1
muhara;freundalt;1
muhara;foedernes;1
muhara;mtvstu;1
susasc;ausfue;6
susasc;mansag;1
susasc;schdeu;1
susasc;kzged;1
susasc;tierhe;1
susasc;futman;1
susasc;kardo;1
susasc;intnor;1
susasc;kulund;1
susasc;spiman;1
raibal;amtbru;6
raibal;verdeuing;1
raibal;aerhei;1
raibal;schwie;1
raibal;mitdes;1
antbar;desera;1
antbar;verkon;1
antbar;foesol;1
thebau;badsta;6
thebau;wuesta;6
thebau;carzei;6
thebau;maxpla;6
thebau;berbra;6
thebau;klatsc;5
thebau;metrhe;6
andbau;hocfuerot;6
andbau;natsch;6
andbau;stinat;3
andbau;stilan;3
andbau;verwol;5
andbau;bunfue;1
andbau;natdeu;1
andbau;natfrerad;1
andbau;schalb;1
andbau;frenat;1
andbau;bunber;1
andbau;saesch;1
andbau;tiesch;1
andbau;fredersch;1
andbau;fredes;1
andbau;deujug;1
susbay;foederoff;2
susbay;verott;6
susbay;gaffoe;1
susbay;gafsti;5
susbay;foedam;1
susbay;foemoe;1
susbay;mushei;1
susbay;foelit;1
susbay;buehei;3
susbay;heiboe;1
susbay;natfre;1
susbay;gre;1
alebec;badsta;4
alebec;lanfuepol;5
alebec;manund;2
alebec;bundeuzup;1
alebec;freder;2
hanbeh;inifue;1
hanbeh;obsundwei;1
hanbeh;muswei;1
hanbeh;trafra;1
hanbeh;natdeu;1
hanbeh;patfue;1
hanbeh;lebder;1
sasbin;foepsy;2
sasbin;turgei;1
sasbin;spoclu;1
sasbin;tenbad;1
sasbin;arb;1
sasbin;verdi;1
sasbin;ugafre;1
sasbin;vfbstu;1
sasbin;natfre;1
denbir;jugbad;5
denbir;elebil;6
denbir;schdes;6
denbir;stides;5
denbir;verdeszwefil;6
denbir;verdeszwehoc;6
thoble;intfor;5
andbog;schdes;2
andbog;parder;2
andbog;lanfuepol;6
andbog;gemelt;6
andbog;lanfuealp;6
andbog;stient;3
andbog;lanwue;4
andbog;stisin;6
andbog;foeabl;2
andbog;turund;6
andbog;verderfre;1
andbog;euruni;1
andbog;krezol;1
andbog;deualppfu;1
frabon;lanfuenat;6
frabon;stinat;2
frabon;verber;2
danbor;stikin;3
danbor;bunfue;5
danbor;lanfuepol;5
danbor;verdi;1
danbor;gelhan;1
danbor;milsch;1
danbor;awoort;2
danbor;awokre;2
danbor;plurhe;2
sanbos;teafir;6
stebra;sposchhal;2
marbra;katlan;6
timbue;deualpsch;1
timbue;worwid;1
timbue;muesch;1
timbue;verderfreder;1
timbue;foefre;1
timbue;salfre;1
timbue;pat;1
timbue;heiwal;1
klabur;leaakt;1
klabur;verderfreund;6
klabur;kresig;6
klabur;freheu;5
klabur;foedes;5
aylcat;lanfuepol;5
aylcat;ferin;6
sebcun;stient;2
sebcun;euruni;1
sebcun;parrin;1
sebcun;natfre;1
sebcun;ortsch;1
sebcun;sposch;1
sebcun;einfra;1
anddeu;recstu;1
anddeu;medund;1
anddeu;hocfue;5
anddeu;deurotess;1
thodoe;ummbue;2
bereis;spo;6
konepp;frefeu;6
neseri;natdeu;1
neseri;bunfue;1
neseri;arbkom;1
neseri;niegro;1
neseri;deumie;1
neseri;verdeu;1
daneve;lanfuepol;5
daneve;aufdes;6
arnfrei;wirder;2
arnfrei;sekhoh;1
nicfin;fcess;2
nicfin;moteis;1
nicfin;musaic;1
nicfin;obsundaic;1
nicfin;buezeh;1
nicfin;weirin;1
nicfin;freundwil;1
nicfin;verderver;1
nicfin;verbad;1
nicfin;sozgem;1
nicfin;intmah;1
nicfin;sozvdk;1
nicfin;fcst;1
nicfin;vfbstu;1
josfre;eurkeh;6
josfre;carfue;2
josfre;deurot;1
josfre;intvel;1
josfre;bunfue;1
steful;regman;2
steful;svwal;2
steful;steinwir;5
steful;gewerz;1
steful;psyles;6
julgol;rotint;1
julgol;arbwai;1
julgol;remmur;3
hangro;krauhi;1
margra;foenat;2
margra;nathei;1
margra;skihei;1
margra;tenhei;1
margra;heispo;1
margra;foederkli;1
margra;brehei;1
margra;deufel;1
gergru;arb;1
gergru;natfre;1
gergru;freerh;1
gergru;verdi;1
gergru;gre;1
gergru;natdeu;1
gergru;bunwin;1
gergru;deuwel;6
gergru;buein;1
frihaa;frefeustu;1
frihaa;helpfl;3
frihaa;denkbad;5
frihaa;libmit;1
pethae;bunfue;1
pethae;polmit;2
marhae;pronew;2
marhae;foeges;1
marhae;jugsch;6
marhae;sorint;1
marhae;clusch;1
marhae;kunkis;1
marhae;foegmu;1
marhae;kireva;1
marhae;verhil;1
manhag;bueehi;3
manhag;ernehi;3
marhah;bunfue;1
marhah;natdeu;1
marhah;badlan;1
marhah;arbbae;1
marhah;tenalt;1
marhah;somueb;1
manhai;tsvund;1
manhai;touson;2
manhai;verbio;1
manhai;marder;1
manhai;sporeu;2
manhai;lanwue;4
dorkli;stpet;6
dorkli;katges;1
dorkli;famtue;2
dorkli;verdi;1
dorkli;arb;1
dorkli;theamt;1
dorkli;tuetaf;1
rueklo;gusvon;1
norkno;vfbstl;1
norkno;buenat;1
norkno;volsue;1
norkno;cratoc;1
norkno;vermet;1
norkno;volhei;1
norkno;genbue;1
norkno;genoik;1
erwkoe;radton;6
petkre;verdi;1
petkre;kulwan;1
petkre;altund;1
petkre;parwan;1
petkre;stefaiwan;1
petkre;chrini;1
winkre;deumus;5
sabkur;kunbad;5
sabkur;wuesta;4
sabkur;lanfuepol;5
sabkur;thestu;6
sabkur;trader;2
danled;lanwue;4
utelei;bunfue;1
utelei;verdeu;1
utelei;tolfre;1
andlin;foedervol;2
andlin;stileb;5
andlin;gesfue;5
andlin;gruaka;1
andlin;verderfreuni;1
andlin;verdeu;1
andlin;amnint;1
reiloe;ausdes;1
reiloe;ortins;6
reiloe;mussta;2
sielor;frefeuwin;6
sielor;freundwil;2
sielor;verzurfoe;2
sielor;deualp;1
sielor;spowin;1
sielor;foerem;1
sielor;deupol;1
sielor;inisic;1
sielor;bezwai;1
manluc;haikin;1
manluc;ravjug;1
manluc;verfra;1
manluc;ravwei;1
manluc;fusrav;1
manluc;deualp;1
manluc;verdi;1
manluc;verdeu;1
manluc;bunfue;1
winmac;lanfuepol;5
winmac;intmus;1
winmac;hocaal;1
thomar;hocoff;5
thomar;beabad;1
thomar;bundeubau;1
thomar;arcund;1
thomar;verdeu;1
thomar;alldeu;1
thomar;melev;6
thomar;verzenbad;1
thomar;bunder;1
matmil;tsvste;1
matmil;wuenot;1
matmil;deunot;1
matmil;deujur;1
matmil;gesjun;1
matmil;cduarb;1
matmil;kirins;6
ralnen;lanfuekom;6
ralnen;schdes;6
ralnen;natdeu;1
ralnen;dorsie;2
ralnen;verflu;1
ralnen;bezmur;1
chrneu;dlrort;6
jutnie;klibad;3
jutnie;bunfue;1
jutnie;umwkre;1
jutnie;alldeu;1
jutnie;verhoh;1
jutnie;foefra;1
jutnie;krelan;1
jutnie;gutanf;1
niknue;radfri;6
niknue;natdeu;1
